depth (m abs)	year
1.61	1800.476405
1.611	1800.475724
1.612	1800.475042
1.613	1800.474361
1.614	1800.47368
1.615	1800.472999
1.616	1800.472319
1.617	1800.471638
1.618	1800.470957
1.619	1800.470276
1.62	1800.469595
1.621	1800.468913
1.622	1800.468232
1.623	1800.467551
1.624	1800.46687
1.625	1800.46619
1.626	1800.465509
1.627	1800.464828
1.628	1800.464147
1.629	1800.463466
1.63	1800.462784
1.631	1800.462103
1.632	1800.461422
1.633	1800.460742
1.634	1800.460061
1.635	1800.45938
1.636	1800.458699
1.637	1800.458018
1.638	1800.457337
1.639	1800.456656
1.64	1800.455974
1.641	1800.455293
1.642	1800.454613
1.643	1800.453932
1.644	1800.453251
1.645	1800.45257
1.646	1800.451889
1.647	1800.451208
1.648	1800.450527
1.649	1800.449845
1.65	1800.449164
1.651	1800.448484
1.652	1800.447803
1.653	1800.447122
1.654	1800.446441
1.655	1800.44576
1.656	1800.445079
1.657	1800.444398
1.658	1800.443717
1.659	1800.443035
1.66	1800.442355
1.661	1800.441674
1.662	1800.440993
1.663	1800.440312
1.664	1800.439631
1.665	1800.43895
1.666	1800.438269
1.667	1800.437588
1.668	1800.436907
1.669	1800.436226
1.67	1800.435545
1.671	1800.434864
1.672	1800.434183
1.673	1800.433502
1.674	1800.432821
1.675	1800.43214
1.676	1800.431459
1.677	1800.430778
1.678	1800.430097
1.679	1800.429416
1.68	1800.428735
1.681	1800.428054
1.682	1800.427373
1.683	1800.426692
1.684	1800.426011
1.685	1800.42533
1.686	1800.424649
1.687	1800.423968
1.688	1800.423287
1.689	1800.422606
1.69	1800.421925
1.691	1800.421244
1.692	1800.420563
1.693	1800.419882
1.694	1800.419202
1.695	1800.41852
1.696	1800.417839
1.697	1800.417158
1.698	1800.416477
1.699	1800.415796
1.7	1800.415115
1.701	1800.414434
1.702	1800.413753
1.703	1800.413073
1.704	1800.412392
1.705	1800.41171
1.706	1800.411029
1.707	1800.410348
1.708	1800.409667
1.709	1800.408986
1.71	1800.408305
1.711	1800.407624
1.712	1800.406944
1.713	1800.406263
1.714	1800.405581
1.715	1800.4049
1.716	1800.404219
1.717	1800.403538
1.718	1800.402857
1.719	1800.402176
1.72	1800.401495
1.721	1800.400815
1.722	1800.400134
1.723	1800.399453
1.724	1800.398771
1.725	1800.39809
1.726	1800.397409
1.727	1800.396728
1.728	1800.396047
1.729	1800.395367
1.73	1800.394686
1.731	1800.394005
1.732	1800.393324
1.733	1800.392642
1.734	1800.391961
1.735	1800.39128
1.736	1800.390599
1.737	1800.389918
1.738	1800.389238
1.739	1800.388557
1.74	1800.387876
1.741	1800.387195
1.742	1800.386513
1.743	1800.385832
1.744	1800.385151
1.745	1800.38447
1.746	1800.383789
1.747	1800.383109
1.748	1800.382428
1.749	1800.381747
1.75	1800.381066
1.751	1800.380385
1.752	1800.379703
